country_iso3,country_name,currency_iso3,currency_name,source_id,provider,title,source_url,documentation_url,rate_definition,first_observation,latest_observation,observations,rights_note
ZAF,South Africa,ZAR,South African rand,SARB_DAILY_FX,South African Reserve Bank,Selected Historical Rates - Rand per US Dollar,https://custom.resbank.co.za/SarbWebApi/WebIndicators/Shared/GetTimeseriesObservations/EXCX135D,https://www.resbank.co.za/en/home/what-we-do/statistics/key-statistics/selected-historical-rates,Weighted average of banks' daily rates at approximately 10:30 a.m.,1970-01-02,2026-08-19,14195,Source-specific open-data licence not confirmed; retain attribution and provider link.
EGY,Egypt,EGP,Egyptian pound,CBE_DAILY_FX,Central Bank of Egypt,Market Exchange Rates Historical Data,https://www.cbe.org.eg/en/markets/foreign-exchange/foreign-exchange-historical-data,https://www.cbe.org.eg/en/markets/foreign-exchange/foreign-exchange-historical-data,Official market weighted-average exchange rate.,2004-12-23,2026-08-19,5290,Source-specific open-data licence not confirmed; retain attribution and provider link.
NGA,Nigeria,NGN,Nigerian naira,CBN_NFEM_FX,Central Bank of Nigeria,Nigerian Foreign Exchange Market Rates,https://www.cbn.gov.ng/api/GetAllNFEM_Rates,https://www.cbn.gov.ng/rates/ExchRateByCurrency.html,Nigerian Foreign Exchange Market volume-weighted average official rate.,2024-12-02,2026-08-19,423,Source-specific open-data licence not confirmed; retain attribution and provider link.
GHA,Ghana,GHS,Ghana cedi,BOG_DAILY_FX,Bank of Ghana,Daily interbank FX rates,https://www.bog.gov.gh/treasury-and-the-markets/historical-interbank-fx-rates/,https://www.bog.gov.gh/treasury-and-the-markets/daily-interbank-fx-rates/,Official interbank mid rate.,1996-01-02,2026-08-19,7511,Source-specific open-data licence not confirmed; retain attribution and provider link.
ETH,Ethiopia,ETB,Ethiopian birr,NBE_DAILY_FX,National Bank of Ethiopia,Indicative Daily Exchange Rates,https://api.nbe.gov.et/api/filter-exchange-rates,https://nbe.gov.et/exchange/indicatives-rates/,Indicative weighted-average reference rate based on prior-day bank transactions.,2024-09-25,2026-08-19,479,Source-specific open-data licence not confirmed; retain attribution and provider link.
